,Player,HOF Probability,Inducted
534,Joe Randa,0.4%,No
535,Pat Burrell,0.4%,No
536,Dave Martinez,0.4%,No
537,B.J. Upton,0.3%,No
538,Frank Bolling,0.3%,No
539,Jim Landis,0.3%,No
540,Mark Loretta,0.3%,No
541,Brandon Inge,0.3%,No
542,David DeJesus,0.3%,No
543,Cecil Fielder,0.3%,No
544,Donn Clendenon,0.3%,No
545,Andre Ethier,0.3%,No
546,Roberto Kelly,0.3%,No
547,Mookie Wilson,0.3%,No
548,Zoilo Versalles,0.3%,No
549,Bud Harrelson,0.3%,No
550,Ken Henderson,0.3%,No
551,Jerry Priddy,0.3%,No
552,Terry Moore,0.3%,No
553,Bill Virdon,0.3%,No
554,Jeff Burroughs,0.3%,No
555,Cristian Guzmán,0.3%,No
556,Ed Brinkman,0.3%,No
557,Harold Reynolds,0.3%,No
558,Sam Chapman,0.3%,No
559,José Cruz,0.3%,No
560,Brian McRae,0.2%,No
561,Chris Young,0.2%,No
562,Hubie Brooks,0.2%,No
563,George Case,0.2%,No
564,Frankie Hayes,0.2%,No
565,Johnny Edwards,0.2%,No
566,Jim Gantner,0.2%,No
567,Félix Millán,0.2%,No
568,Walt Weiss,0.2%,No
569,Frank Malzone,0.2%,No
570,Don Blasingame,0.2%,No
571,Dan Driessen,0.2%,No
572,Aurelio Rodríguez,0.2%,No
573,Gregg Jefferies,0.2%,No
574,José Guillén,0.2%,No
575,Jorge Orta,0.2%,No
576,Vic Power,0.2%,No
577,Lyle Overbay,0.2%,No
578,Michael Cuddyer,0.2%,No
579,Del Unser,0.2%,No
580,Glenn Hubbard,0.2%,No
581,Craig Counsell,0.2%,No
582,Eric Karros,0.2%,No
583,Julio Lugo,0.2%,No
584,Johnny Temple,0.2%,No
585,Tony Armas,0.2%,No
586,Bucky Dent,0.2%,No
587,Sean Casey,0.2%,No
588,Kevin Bass,0.2%,No
589,Lou Piniella,0.2%,No
590,Rey Sánchez,0.2%,No
591,Adam LaRoche,0.2%,No
592,Kelly Johnson,0.2%,No
593,José Hernández,0.2%,No
594,Brook Jacoby,0.2%,No
595,Pete Fox,0.2%,No
596,Don Kessinger,0.2%,No
597,Bruce Bochte,0.2%,No
598,Omar Infante,0.2%,No
599,Ted Sizemore,0.2%,No
600,Otis Nixon,0.2%,No
601,Jody Reed,0.2%,No
602,Al Cowens,0.2%,No
603,Tony Clark,0.2%,No
604,Tito Francona,0.2%,No
605,Glenn Beckert,0.2%,No
606,Darryl Hamilton,0.2%,No
607,Dean Palmer,0.2%,No
608,Álex González,0.2%,No
609,Derek Bell,0.2%,No
610,Lee Lacy,0.2%,No
611,Enos Cabell,0.1%,No
612,Matt Stairs,0.1%,No
613,Ray Knight,0.1%,No
614,David Bell,0.1%,No
615,Deron Johnson,0.1%,No
616,Dave Collins,0.1%,No
617,Kendrys Morales,0.1%,No
618,Shawon Dunston,0.1%,No
619,Vince Coleman,0.1%,No
620,J.T. Snow,0.1%,No
621,Spike Owen,0.1%,No
622,Ralph Garr,0.1%,No
623,Julián Javier,0.1%,No
624,Matt Lawton,0.1%,No
625,Rickie Weeks,0.1%,No
626,Mickey Stanley,0.1%,No
627,Bengie Molina,0.1%,No
628,Jay Johnstone,0.1%,No
629,Cookie Rojas,0.1%,No
630,Cass Michaels,0.1%,No
631,David Segui,0.1%,No
632,Horace Clarke,0.1%,No
633,Iván de Jesús,0.1%,No
634,Jeffrey Leonard,0.1%,No
635,Kevin Millar,0.1%,No
636,Alex Gonzalez,0.1%,No
637,Billy Butler,0.1%,No
638,Alfredo Griffin,0.1%,No
639,Adam Lind,0.1%,No
640,Larry Herndon,0.1%,No
641,Jerry Lumpe,0.1%,No
642,Omar Moreno,0.1%,No
643,Héctor López,0.1%,No
644,Juan Beníquez,0.1%,No
645,Jeff Francoeur,0.1%,No
646,Dmitri Young,0.1%,No
647,Dante Bichette,0.1%,No
648,Rick Manning,0.1%,No
649,James Loney,0.1%,No
650,Charlie Hayes,0.1%,No
651,Mark Reynolds,0.1%,No
652,José Vizcaíno,0.1%,No
653,Luis Polonia,0.1%,No
654,Mickey Morandini,0.1%,No
655,Tito Fuentes,0.1%,No
656,Sandy Alomar,0.1%,No
657,Manny Trillo,0.1%,No
658,Rafael Ramírez,0.1%,No
659,Tim Foli,0.1%,No
660,Frankie Gustine,0.1%,No
661,Joe Pepitone,0.1%,No
662,Todd Walker,0.1%,No
663,Dave Philley,0.1%,No
664,Pat Kelly,0.1%,No
665,Bobby Richardson,0.1%,No
666,Jim Hegan,0.0%,No
667,Neifi Pérez,0.0%,No
668,Tommy Helms,0.0%,No
669,Ed Kranepool,0.0%,No
670,Juan Encarnación,0.0%,No
671,Derrel Thomas,0.0%,No
672,Tony Womack,0.0%,No
673,Willie Montañez,0.0%,No
674,Chris Gomez,0.0%,No
675,Keith Moreland,0.0%,No
676,Jim Spencer,0.0%,No
677,Pete Suder,0.0%,No
